Selegiline	B-DRUG
-	O
induced	O
postural	B-SYMPTOM
hypotension	I-SYMPTOM
in	O
Parkinson	B-SYMPTOM
'	I-SYMPTOM
s	I-SYMPTOM
disease	I-SYMPTOM
:	O
a	O
longitudinal	O
study	O
on	O
the	O
effects	O
of	O
drug	O
withdrawal	O
.	O

OBJECTIVES	O
:	O
The	O
United	O
Kingdom	O
Parkinson	B-SYMPTOM
'	I-SYMPTOM
s	I-SYMPTOM
Disease	I-SYMPTOM
Research	O
Group	O
(	O
UKPDRG	O
)	O
trial	O
found	O
an	O
increased	O
mortality	O
in	O
patients	O
with	O
Parkinson	B-SYMPTOM
'	I-SYMPTOM
s	I-SYMPTOM
disease	I-SYMPTOM
(	O
PD	B-SYMPTOM
)	O
randomized	O
to	O
receive	O
10	O
mg	O
selegiline	B-DRUG
per	O
day	O
and	O
L	B-DRUG
-	I-DRUG
dopa	I-DRUG
compared	O
with	O
those	O
taking	O
L	B-DRUG
-	I-DRUG
dopa	I-DRUG
alone	O
.	O

Recently	O
,	O
we	O
found	O
that	O
therapy	O
with	O
selegiline	B-DRUG
and	O
L	B-DRUG
-	I-DRUG
dopa	I-DRUG
was	O
associated	O
with	O
selective	O
systolic	B-SYMPTOM
orthostatic	I-SYMPTOM
hypotension	I-SYMPTOM
which	O
was	O
abolished	O
by	O
withdrawal	O
of	O
selegiline	B-DRUG
.	O

This	O
unwanted	O
effect	O
on	O
postural	O
blood	O
pressure	O
was	O
not	O
the	O
result	O
of	O
underlying	O
autonomic	O
failure	O
.	O

The	O
aims	O
of	O
this	O
study	O
were	O
to	O
confirm	O
our	O
previous	O
findings	O
in	O
a	O
separate	O
cohort	O
of	O
patients	O
and	O
to	O
determine	O
the	O
time	O
course	O
of	O
the	O
cardiovascular	O
consequences	O
of	O
stopping	O
selegiline	B-DRUG
in	O
the	O
expectation	O
that	O
this	O
might	O
shed	O
light	O
on	O
the	O
mechanisms	O
by	O
which	O
the	O
drug	O
causes	O
orthostatic	B-SYMPTOM
hypotension	I-SYMPTOM
.	O

METHODS	O
:	O
The	O
cardiovascular	O
responses	O
to	O
standing	O
and	O
head	O
-	O
up	O
tilt	O
were	O
studied	O
repeatedly	O
in	O
PD	B-SYMPTOM
patients	O
receiving	O
selegiline	B-DRUG
and	O
as	O
the	O
drug	O
was	O
withdrawn	O
.	O

RESULTS	O
:	O
Head	O
-	O
up	O
tilt	O
caused	O
systolic	B-SYMPTOM
orthostatic	I-SYMPTOM
hypotension	I-SYMPTOM
which	O
was	O
marked	O
in	O
six	O
of	O
20	O
PD	B-SYMPTOM
patients	O
on	O
selegiline	B-DRUG
,	O
one	O
of	O
whom	O
lost	O
consciousness	O
with	O
unrecordable	O
blood	O
pressures	O
.	O

A	O
lesser	O
degree	O
of	O
orthostatic	B-SYMPTOM
hypotension	I-SYMPTOM
occurred	O
with	O
standing	O
.	O

Orthostatic	B-SYMPTOM
hypotension	I-SYMPTOM
was	O
ameliorated	O
4	O
days	O
after	O
withdrawal	O
of	O
selegiline	B-DRUG
and	O
totally	O
abolished	O
7	O
days	O
after	O
discontinuation	O
of	O
the	O
drug	O
.	O

Stopping	O
selegiline	B-DRUG
also	O
significantly	O
reduced	B-SYMPTOM
the	I-SYMPTOM
supine	I-SYMPTOM
systolic	I-SYMPTOM
and	I-SYMPTOM
diastolic	I-SYMPTOM
blood	I-SYMPTOM
pressures	I-SYMPTOM
consistent	O
with	O
a	O
previously	O
undescribed	O
supine	O
pressor	O
action	O
.	O

CONCLUSION	O
:	O
This	O
study	O
confirms	O
our	O
previous	O
finding	O
that	O
selegiline	B-DRUG
in	O
combination	O
with	O
L	B-DRUG
-	I-DRUG
dopa	I-DRUG
is	O
associated	O
with	O
selective	O
orthostatic	B-SYMPTOM
hypotension	I-SYMPTOM
.	O

The	O
possibilities	O
that	O
these	O
cardiovascular	O
findings	O
might	O
be	O
the	O
result	O
of	O
non	O
-	O
selective	O
inhibition	O
of	O
monoamine	O
oxidase	O
or	O
of	O
amphetamine	B-DRUG
and	O
metamphetamine	B-DRUG
are	O
discussed	O
.	O

Further	O
studies	O
on	O
effects	O
of	O
irrigation	O
solutions	O
on	O
rat	O
bladders	O
